Date,StartHour,EndHour,Friday,HolidayEffect,TotalPassengers,RequiredBuses,MaxPassengers,MinPassengers,AvgPassengers
1/1/2024,6,10,FALSE,TRUE,4265.298166,72,86.5,18.35,43.89
1/1/2024,10,14,FALSE,TRUE,2132.649083,36,64.77,10.18,25.82
1/1/2024,14,18,FALSE,TRUE,2039.239538,34,87.02,10.4,38.78
1/1/2024,18,22,FALSE,TRUE,729.0796922,13,69.12,11.06,42.61
1/1/2024,22,2,FALSE,TRUE,0,0,0,0,0
1/1/2024,2,6,FALSE,TRUE,1150.029198,20,62.48,7.57,35.9
1/2/2024,6,10,FALSE,TRUE,4265.298166,72,102.93,21.83,52.22
1/2/2024,10,14,FALSE,TRUE,2132.649083,36,63.19,9.93,25.19
1/2/2024,14,18,FALSE,TRUE,2039.239538,34,85.92,10.27,38.29
1/2/2024,18,22,FALSE,TRUE,729.0796922,13,71.04,11.37,43.79
1/2/2024,22,2,FALSE,TRUE,0,0,0,0,0
1/2/2024,2,6,FALSE,TRUE,1150.029198,20,60.77,7.37,34.92
1/3/2024,6,10,FALSE,TRUE,4265.298166,72,104.77,22.22,53.16
1/3/2024,10,14,FALSE,TRUE,2132.649083,36,70.86,11.13,28.25
1/3/2024,14,18,FALSE,TRUE,2039.239538,34,89.17,10.66,39.74
1/3/2024,18,22,FALSE,TRUE,729.0796922,13,67.6,10.82,41.67
1/3/2024,22,2,FALSE,TRUE,0,0,0,0,0
1/3/2024,2,6,FALSE,TRUE,1150.029198,20,66.56,8.07,38.24
1/4/2024,6,10,FALSE,FALSE,3412.238533,57,93.79,19.9,47.59
1/4/2024,10,14,FALSE,FALSE,1706.119266,29,72.34,11.37,28.84
1/4/2024,14,18,FALSE,FALSE,1631.391631,28,94.83,11.34,42.26
1/4/2024,18,22,FALSE,FALSE,583.2637538,10,78.03,12.48,48.1
1/4/2024,22,2,FALSE,FALSE,0,0,0,0,0
1/4/2024,2,6,FALSE,FALSE,920.0233587,16,64.47,7.81,37.04
1/5/2024,6,10,TRUE,FALSE,3753.462386,63,91.11,19.33,46.22
1/5/2024,10,14,TRUE,FALSE,1876.731193,32,71.36,11.21,28.45
1/5/2024,14,18,TRUE,FALSE,1794.530794,30,82.35,9.85,36.7
1/5/2024,18,22,TRUE,FALSE,641.5901291,11,76.38,12.22,47.08
1/5/2024,22,2,TRUE,FALSE,0,0,0,0,0
1/5/2024,2,6,TRUE,FALSE,1012.025695,17,58.01,7.03,33.33
1/6/2024,6,10,FALSE,FALSE,3412.238533,57,95.83,20.33,48.62
1/6/2024,10,14,FALSE,FALSE,1706.119266,29,63.73,10.01,25.41
1/6/2024,14,18,FALSE,FALSE,1631.391631,28,84.72,10.13,37.76
1/6/2024,18,22,FALSE,FALSE,583.2637538,10,70.54,11.29,43.48
1/6/2024,22,2,FALSE,FALSE,0,0,0,0,0
1/6/2024,2,6,FALSE,FALSE,920.0233587,16,63.08,7.65,36.24
1/7/2024,6,10,FALSE,FALSE,3412.238533,57,92.39,19.6,46.87
1/7/2024,10,14,FALSE,FALSE,1706.119266,29,68.99,10.84,27.5
1/7/2024,14,18,FALSE,FALSE,1631.391631,28,82.62,9.88,36.82
1/7/2024,18,22,FALSE,FALSE,583.2637538,10,76.05,12.17,46.88
1/7/2024,22,2,FALSE,FALSE,0,0,0,0,0
1/7/2024,2,6,FALSE,FALSE,920.0233587,16,63.83,7.74,36.67
1/8/2024,6,10,FALSE,FALSE,3412.238533,57,102.63,21.77,52.07
1/8/2024,10,14,FALSE,FALSE,1706.119266,29,71.85,11.29,28.64
1/8/2024,14,18,FALSE,FALSE,1631.391631,28,87.72,10.49,39.09
1/8/2024,18,22,FALSE,FALSE,583.2637538,10,66.3,10.61,40.87
1/8/2024,22,2,FALSE,FALSE,0,0,0,0,0
1/8/2024,2,6,FALSE,FALSE,920.0233587,16,58.35,7.07,33.53
1/9/2024,6,10,FALSE,FALSE,3412.238533,57,103.2,21.89,52.36
1/9/2024,10,14,FALSE,FALSE,1706.119266,29,71.97,11.31,28.69
1/9/2024,14,18,FALSE,FALSE,1631.391631,28,81.11,9.7,36.15
1/9/2024,18,22,FALSE,FALSE,583.2637538,10,72.93,11.67,44.95
1/9/2024,22,2,FALSE,FALSE,0,0,0,0,0
